model,mfg,capacity_tb,drive_count,avg_age_months,drive_days,failures,afr_pct,source
MG08ACA16TA,Toshiba,16,40036,,18171965,464,0.93,Backblaze thru Q1 2026
WUH722222ALE6L4,WDC,22,45638,,17605821,219,0.45,Backblaze thru Q1 2026
MG07ACA14TA,Toshiba,14,37263,,16998452,526,1.13,Backblaze thru Q1 2026
ST16000NM001G,Seagate,16,34729,,15479794,226,0.53,Backblaze thru Q1 2026
WUH721816ALE6L4,WDC,16,26801,,12074153,240,0.73,Backblaze thru Q1 2026
ST12000NM0008,Seagate,12,18650,,8541670,615,2.63,Backblaze thru Q1 2026
MG10ACA20TE,Toshiba,20,20451,,6574642,122,0.68,Backblaze thru Q1 2026
ST8000NM0055,Seagate,8,13232,,6046855,330,1.99,Backblaze thru Q1 2026
HUH721212ALE604,HGST,12,13277,,6037491,444,2.68,Backblaze thru Q1 2026
ST12000NM001G,Seagate,12,13216,,6003459,160,0.97,Backblaze thru Q1 2026
ST14000NM001G,Seagate,14,10519,,4794016,163,1.24,Backblaze thru Q1 2026
HUH721212ALN604,HGST,12,9780,,4498670,488,3.96,Backblaze thru Q1 2026
WUH721414ALE6L4,WDC,14,8640,,3917847,77,0.72,Backblaze thru Q1 2026
ST8000DM002,Seagate,8,8910,,3916123,181,1.69,Backblaze thru Q1 2026
ST24000NM002H,Seagate,24,9605,,2761100,220,2.91,Backblaze thru Q1 2026
MG08ACA16TE,Toshiba,16,6264,,2742253,100,1.33,Backblaze thru Q1 2026
MG08ACA16TEY,Toshiba,16,4885,,2278904,344,5.51,Backblaze thru Q1 2026
WUH721816ALE6L0,WDC,16,2994,,1360754,83,2.23,Backblaze thru Q1 2026
HUH721212ALE600,HGST,12,2608,,1185431,25,0.77,Backblaze thru Q1 2026
MG11ACA24TE,Toshiba,24,7203,,869474,10,0.42,Backblaze thru Q1 2026
ST14000NM0138,Seagate,14,1251,,578820,83,5.23,Backblaze thru Q1 2026
HUH728080ALE600,HGST,8,1026,,476261,38,2.91,Backblaze thru Q1 2026
ST10000NM0086,Seagate,10,981,,454127,68,5.47,Backblaze thru Q1 2026
ST12000NM0007,Seagate,12,983,,454047,66,5.31,Backblaze thru Q1 2026
ST12000NM000J,Seagate,12,1087,,444469,5,0.41,Backblaze thru Q1 2026
MG07ACA14TEY,Toshiba,14,996,,413090,25,2.21,Backblaze thru Q1 2026
HMS5C4040BLE640,HGST,4,186,,391135,5,0.47,Backblaze thru Q1 2026
WUH722626ALE6L4,WDC,26,3604,,274161,5,0.67,Backblaze thru Q1 2026
ST16000NM002J,Seagate,16,466,,210517,1,0.17,Backblaze thru Q1 2026
ST14000NM000J,Seagate,14,433,,154371,8,1.89,Backblaze thru Q1 2026
MG09ACA16TE,Toshiba,16,506,,100315,4,1.46,Backblaze thru Q1 2026
