model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,rec_tech,class,in_production,confidence,notes
WD20EFPX,WD,Red Plus,2,5400,128,SATA,3.5,CMR,NAS,yes,high,
WD30EFZX,WD,Red Plus,3,5400,128,SATA,3.5,CMR,NAS,yes,medium,older EFZX naming
WD40EFPX,WD,Red Plus,4,5400,256,SATA,3.5,CMR,NAS,yes,high,
WD60EFPX,WD,Red Plus,6,5400,256,SATA,3.5,CMR,NAS,yes,high,
WD80EFPX,WD,Red Plus,8,5640,256,SATA,3.5,CMR,NAS,yes,high,
WD80EFZZ,WD,Red Plus,8,5640,256,SATA,3.5,CMR,NAS,yes,medium,alt 8TB SKU
WD101EFBX,WD,Red Plus,10,7200,256,SATA,3.5,CMR,NAS,yes,high,
WD120EFBX,WD,Red Plus,12,7200,256,SATA,3.5,CMR,NAS,yes,high,
WD140EFGX,WD,Red Plus,14,7200,512,SATA,3.5,CMR,NAS,yes,high,
WD2002FFSX,WD,Red Pro,2,7200,64,SATA,3.5,CMR,NAS-Pro,yes,high,
WD4005FFBX,WD,Red Pro,4,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
WD6005FFBX,WD,Red Pro,6,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
WD8005FFBX,WD,Red Pro,8,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
WD102KFBX,WD,Red Pro,10,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
WD121KFBX,WD,Red Pro,12,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
WD142KFGX,WD,Red Pro,14,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
WD161KFGX,WD,Red Pro,16,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
WD181KFGX,WD,Red Pro,18,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
WD201KFGX,WD,Red Pro,20,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
WD221KFGX,WD,Red Pro,22,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
