model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,recording_tech,drive_class,in_production,afr_pct,reliability_drive_count,reliability_drive_days,reliability_failures,reliability_source
WUH722626ALE6L4,WD,"Ultrastar DC HC590",26,7200,512,SATA,3.5,cmr,Enterprise,1,0.4,1200,91690,1,"Backblaze 2025"
ST24000NM002H,Seagate,"Exos X24",24,7200,512,SATA,3.5,cmr,Enterprise,1,2.75,8328,1941010,146,"Backblaze 2025"
ST24000NT002,Seagate,"IronWolf Pro",24,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
ST24000VE002,Seagate,"SkyHawk AI",24,7200,512,SATA,3.5,cmr,Surveillance,1,,,,,
MG11ACA24TE,Toshiba,MG11,24,7200,512,SATA,3.5,cmr,Enterprise,1,0.68,4739,374087,7,"Backblaze 2025"
WD240KFGX,WD,"Red Pro",24,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
WD241KRYZ,WD,Gold,24,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
WUH722424ALE6L4,WD,"Ultrastar DC HC580",24,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
ST22000NM001E,Seagate,"Exos X22",22,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
ST22000NT001,Seagate,"IronWolf Pro",22,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
MG10AFA22TE,Toshiba,MG10,22,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
WD221KFGX,WD,"Red Pro",22,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
WD221KRYZ,WD,Gold,22,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
WD221PURP,WD,"Purple Pro",22,7200,512,SATA,3.5,cmr,Surveillance,1,,,,,
WUH722222ALE6L4,WD,"Ultrastar DC HC570",22,7200,512,SATA,3.5,cmr,Enterprise,1,0.47,44265,13612879,177,"Backblaze 2025"
ST20000NM007D,Seagate,"Exos X20",20,7200,256,SATA,3.5,cmr,Enterprise,1,,,,,
ST20000NT001,Seagate,"IronWolf Pro",20,7200,256,SATA,3.5,cmr,NAS-Pro,1,,,,,
ST20000VE002,Seagate,"SkyHawk AI",20,7200,512,SATA,3.5,cmr,Surveillance,1,,,,,
MG10ACA20TE,Toshiba,MG10,20,7200,512,SATA,3.5,cmr,Enterprise,1,0.59,17999,4909379,80,"Backblaze 2025"
WD201KFGX,WD,"Red Pro",20,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
WD202KRYZ,WD,Gold,20,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
WUH722020BLE6L4,WD,"Ultrastar DC HC560",20,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
ST18000NM000J,Seagate,"Exos X18",18,7200,256,SATA,3.5,cmr,Enterprise,1,1.67,60,21837,1,"Backblaze 2025"
ST18000NM004J,Seagate,"Exos X18",18,7200,256,SAS,3.5,cmr,Enterprise,1,,,,,
ST18000NT001,Seagate,"IronWolf Pro",18,7200,256,SATA,3.5,cmr,NAS-Pro,1,,,,,
ST18000VE002,Seagate,"SkyHawk AI",18,7200,256,SATA,3.5,cmr,Surveillance,1,,,,,
MG09ACA18TE,Toshiba,MG09,18,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
MG09SCA18TE,Toshiba,MG09,18,7200,512,SAS,3.5,cmr,Enterprise,1,,,,,
WD181KFGX,WD,"Red Pro",18,7200,512,SATA,3.5,cmr,NAS-Pro,1,,,,,
WD181KRYZ,WD,Gold,18,7200,512,SATA,3.5,cmr,Enterprise,1,,,,,
WD181PURP,WD,"Purple Pro",18,7200,512,SATA,3.5,cmr,Surveillance,1,,,,,
