model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,recording_tech,acoustic_idle_db,acoustic_seek_db,is_helium,drive_class,media_type,nand_type,tbw_tb,dwpd,has_dram,has_plp,sustained_write_mbps,in_production,also_sold_as,afr_pct,reliability_drive_count,reliability_drive_days,reliability_failures,reliability_source
SBFPF2BV307T001,Solidigm,D5-P5336,30.72,,,NVMe,U.2,,,,,Enterprise,ssd,QLC,31500,0.56,1,1,3000,1,,,,,,
WUH722626ALE6L4,WD,"Ultrastar DC HC590",26,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.84,6958,736527,17,"Backblaze thru Q2 2026"
ST24000NM002H,Seagate,"Exos X24",24,7200,512,SATA,3.5,cmr,30,34,1,Enterprise,hdd,,,,,,,1,,3.04,9482,3622687,302,"Backblaze thru Q2 2026"
ST24000NT002,Seagate,"IronWolf Pro",24,7200,512,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST24000VE002,Seagate,"SkyHawk AI",24,7200,512,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
HAT5320-24T,Synology,"Enterprise Series",24,7200,1024,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,1,,,,,,
MG11ACA24TE,Toshiba,MG11,24,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,0.5,9597,1694377,23,"Backblaze thru Q2 2026"
WD241KFGX,WD,"Red Pro",24,7200,512,SATA,3.5,cmr,25,32,1,NAS-Pro,hdd,,,,,,,1,WD240KFGX,,,,,
WD241KRYZ,WD,Gold,24,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,0,,,,,,
WD242KRYZ,WD,Gold,24,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH722424ALE6L4,WD,"Ultrastar DC HC580",24,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
ST22000NM001E,Seagate,"Exos X22",22,7200,512,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST22000NT001,Seagate,"IronWolf Pro",22,7200,512,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
MG10AFA22TE,Toshiba,MG10,22,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
WD221KFGX,WD,"Red Pro",22,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD221KRYZ,WD,Gold,22,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WD221PURP,WD,"Purple Pro",22,7200,512,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WUH722222ALE6L4,WD,"Ultrastar DC HC570",22,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.47,45556,21752160,282,"Backblaze thru Q2 2026"
ST20000NM007D,Seagate,"Exos X20",20,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST20000NT001,Seagate,"IronWolf Pro",20,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST20000VE002,Seagate,"SkyHawk AI",20,7200,512,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
HAT3320-20T,Synology,"Plus Series",20,7200,1024,SATA,3.5,cmr,20,32,1,NAS,hdd,,,,,,,1,,,,,,
HAT5320-20T,Synology,"Enterprise Series",20,7200,1024,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,1,,,,,,
MG10ACA20TE,Toshiba,MG10,20,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,0.78,25171,8692166,186,"Backblaze thru Q2 2026"
WD201KFGX,WD,"Red Pro",20,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD202KRYZ,WD,Gold,20,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH722020BLE6L4,WD,"Ultrastar DC HC560",20,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
ST18000NM000J,Seagate,"Exos X18",18,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST18000NM004J,Seagate,"Exos X18",18,7200,256,SAS,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST18000NT001,Seagate,"IronWolf Pro",18,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST18000VE002,Seagate,"SkyHawk AI",18,7200,256,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
HDWG180,Toshiba,N300,18,7200,512,SATA,3.5,cmr,20,,1,NAS,hdd,,,,,,,1,HDWG180UZSVA;HDWG180XZSTA,,,,,
MG09ACA18TE,Toshiba,MG09,18,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
MG09SCA18TE,Toshiba,MG09,18,7200,512,SAS,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
WD181KFGX,WD,"Red Pro",18,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD181KRYZ,WD,Gold,18,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WD181PURP,WD,"Purple Pro",18,7200,512,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WUH721818ALE6L4,WD,"Ultrastar DC HC550",18,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
ST16000NM000J,Seagate,"Exos X18",16,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,1,ST16000NM002J,0.72,463,252603,5,"Backblaze thru Q2 2026 (merged ST16000NM002J)"
ST16000NM001G,Seagate,"Exos X16",16,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,0.55,34998,18641911,283,"Backblaze thru Q2 2026"
ST16000NM002G,Seagate,"Exos X16",16,7200,256,SAS,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST16000NT001,Seagate,"IronWolf Pro",16,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST16000VE002,Seagate,"SkyHawk AI",16,7200,256,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
HAT3310-16T,Synology,"Plus Series",16,7200,512,SATA,3.5,cmr,20,32,1,NAS,hdd,,,,,,,1,,,,,,
HAT5310-16T,Synology,"Enterprise Series",16,7200,512,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,1,,,,,,
HDWG51G,Toshiba,N300,16,7200,512,SATA,3.5,cmr,20,,1,NAS,hdd,,,,,,,1,HDWG51E;HDWG51GUZSVA,,,,,
MG08ACA16Tx,Toshiba,MG08,16,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,MG08ACA16TA;MG08ACA16TE;MG08ACA16TEY,1.41,50539,27815007,1072,"Backblaze thru Q2 2026 (merged MG08ACA16TA + MG08ACA16TE + MG08ACA16TEY)"
MG09ACA16TE,Toshiba,MG09,16,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,1.3,893,168744,6,"Backblaze thru Q2 2026"
WD161KFGX,WD,"Red Pro",16,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD161KRYZ,WD,Gold,16,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH721816ALE6Lx,WD,"Ultrastar DC HC550",16,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,WUH721816ALE6L0;WUH721816ALE6L4,0.98,29680,16136156,435,"Backblaze thru Q2 2026 (merged WUH721816ALE6L0 + WUH721816ALE6L4)"
SBFPF2BV153T001,Solidigm,D5-P5336,15.36,,,NVMe,U.2,,,,,Enterprise,ssd,QLC,14100,0.51,1,1,3000,1,,,,,,
ST14000NM000J,Seagate,"Exos X18",14,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,1.48,496,197720,8,"Backblaze thru Q2 2026"
ST14000NM0018,Seagate,"Exos X14",14,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,ST14000NM0138,5.72,1211,689230,108,"Backblaze thru Q2 2026 (merged ST14000NM0138)"
ST14000NM001G,Seagate,"Exos X16",14,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,1.28,10455,5743412,202,"Backblaze thru Q2 2026"
ST14000NT001,Seagate,"IronWolf Pro",14,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
HDWG31G,Toshiba,N300,14,7200,256,SATA,3.5,cmr,20,,1,NAS,hdd,,,,,,,1,HDWG31GUZSVA,,,,,
HDWR31G,Toshiba,X300,14,7200,256,SATA,3.5,cmr,20,,1,Desktop,hdd,,,,,,,1,,,,,,
MG07ACA14TE,Toshiba,MG07,14,7200,256,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,MG07ACA14TA;MG07ACA14TEY,1.29,37907,20869630,736,"Backblaze thru Q2 2026 (merged MG07ACA14TA + MG07ACA14TEY)"
MG07SCA14TE,Toshiba,MG07,14,7200,256,SAS,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
WD140EFGX,WD,"Red Plus",14,7200,512,SATA,3.5,cmr,24,28,1,NAS,hdd,,,,,,,1,,,,,,
WD141PURP,WD,"Purple Pro",14,7200,512,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WD142KFGX,WD,"Red Pro",14,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD142KRYZ,WD,Gold,14,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH721414AL5204,WD,"Ultrastar DC HC530",14,7200,512,SAS,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH721414ALE6L4,WD,"Ultrastar DC HC530",14,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.78,8548,4701165,100,"Backblaze thru Q2 2026"
ST12000NM0007,Seagate,"Exos X12",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,5.12,957,541543,76,"Backblaze thru Q2 2026"
ST12000NM0008,Seagate,"Exos X14",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,2.72,18363,10212727,760,"Backblaze thru Q2 2026"
ST12000NM000J,Seagate,"Exos X18",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,0.34,1079,542215,5,"Backblaze thru Q2 2026"
