month,consumer_usd_per_tb,enterprise_usd_per_tb
2024-07,19.94,20.93
2024-08,20.03,22.38
2024-09,20.38,21.43
2024-10,20.52,21.84
2024-11,20.07,21.11
2024-12,20.74,20.81
2025-01,21.00,21.22
2025-02,21.17,21.58
2025-03,21.00,21.75
2025-04,20.82,23.24
2025-05,21.30,21.45
2025-06,20.42,21.87
2025-07,20.87,21.48
2025-08,21.01,20.51
2025-09,21.50,20.47
2025-10,22.34,21.17
2025-11,20.78,22.25
2025-12,23.67,23.07
2026-01,27.95,25.02
2026-02,26.05,27.94
2026-03,33.43,31.48
2026-04,39.05,37.99
2026-05,39.12,39.31
2026-06,43.52,41.69
2026-07,44.95,45.31
2026-08,44.01,42.54
2026-09,44.37,43.45
